# 工程コード対応表(2026-09-08 kii-san提供のExcelより生成)
# category・is_bottleneckは工程名詳細のキーワードから自動推定した一次案です。
# 誤りに気づいた場合は、このファイルを直接編集してください(プログラム改変は不要です)。
# standard_lt_business_days は対応表記載のコード別LTをそのまま使用しています。
process_code,category,note,is_bottleneck,standard_lt_business_days
ZZ,その他,材料,false,5
ZT,熱処理系,材料.ﾉﾙﾏﾃﾝﾊﾟｰ,false,5
ZS,その他,面取り.ｽﾛｯﾀｰ,false,5
ZR,その他,面取り,false,5
ZN,熱処理系,材料.焼準,false,5
ZL,その他,材料.旋盤,false,5
ZI,熱処理系,材料･調質･応力除去なまし,false,5
ZH,熱処理系,材料.調質,false,5
ZF,その他,鍛造,false,15
ZA,熱処理系,材料.焼鈍,false,5
XY,その他,ﾒｰｶｰ加工,false,5
XW,研磨系,ﾒｰｶｰ加工,false,5
XV,その他,ﾒｰｶｰ加工,false,5
XU,その他,ﾒｰｶｰ加工,false,5
XT,その他,ﾒｰｶｰ加工,false,5
XS,その他,ﾒｰｶｰ加工,false,5
XR,その他,ﾒｰｶｰ加工,false,5
XQ,研磨系,ﾒｰｶｰ加工,false,5
XP,その他,ﾒｰｶｰ加工,false,5
XO,その他,ﾒｰｶｰ加工,false,5
XN,研磨系,ﾒｰｶｰ加工,false,5
XM,研磨系,ﾒｰｶｰ加工,false,5
XL,研磨系,ﾒｰｶｰ加工,false,5
XK,研磨系,ﾒｰｶｰ加工,false,5
XJ,研磨系,ﾒｰｶｰ加工,false,5
XI,研磨系,ﾒｰｶｰ加工,false,5
XH,熱処理系,ﾒｰｶｰ加工,false,5
XG,その他,ﾒｰｶｰ加工,false,5
XF,その他,ﾒｰｶｰ加工,false,5
XE,その他,ﾒｰｶｰ加工,false,5
XD,その他,ﾒｰｶｰ加工,false,5
XC,その他,ﾒｰｶｰ加工,false,5
XB,その他,ﾒｰｶｰ加工,false,5
XA,その他,ﾒｰｶｰ加工,false,5
X9,その他,ﾒｰｶｰ加工,false,5
X8,その他,ﾒｰｶｰ加工,false,5
X7,その他,ﾒｰｶｰ加工,false,5
X6,その他,ﾒｰｶｰ加工,false,5
X5,その他,ﾒｰｶｰ加工,false,5
X4,その他,ﾒｰｶｰ加工,false,5
X3,その他,ﾒｰｶｰ加工,false,5
X2,その他,ﾒｰｶｰ加工,false,5
X1,その他,ﾒｰｶｰ加工,false,5
X0,その他,ﾒｰｶｰ加工,false,5
WW,歯切り系,ﾎｲﾙ仕上切り,true,5
WV,歯切り系,ﾎｲﾙ荒切り,true,5
WE,その他,溶接,false,10
WD,その他,ﾜｲﾔｰｶｯﾄ2,false,5
WC,その他,ﾜｲﾔｰｶｯﾄ,false,5
VH,検査,VH検査,false,5
VA,熱処理系,真空焼入れ,false,5
TW,歯切り系,ｳｫｰﾑ仕上切り,true,5
TV,歯切り系,WTH（G）,true,5
TU,その他,TU,false,5
TT,歯切り系,ｽﾌﾟﾗｲﾝ仕上切り2,true,5
TS,歯切り系,ｽﾌﾟﾗｲﾝ仕上切り,true,5
TR,歯切り系,ﾗｲｽ歯研用下切り,true,5
TP,その他,ﾃｰﾊﾟｰ打ち込み,false,5
TN,歯切り系,ﾅｲﾙｽ歯研用下切り,true,5
TM,歯切り系,ﾏｰｸﾞ歯研用下切り,true,5
TH,歯切り系,仕上げ歯切り,false,5
TG,歯切り系,ｵﾊﾟｰﾙ歯研2次加工,true,5
TF,歯切り系,ｷﾞﾔｰｼｪｰﾊﾟｰ仕上げ切り,false,5
T1,歯切り系,ｼｪｰﾋﾞﾝｸﾞ下切り,false,5
SU,歯切り系,ｽﾌﾟﾗｲﾝ研磨下切り2次加工,true,5
ST,歯切り系,ｽﾌﾟﾗｲﾝ研磨下切り,true,5
SP,その他,ｼｮｯﾄ加工,false,5
SM,その他,ｽﾛｯﾀｰ（荒加工）,false,5
SL,その他,ｽﾛｯﾀｰ,false,5
SG,その他,組込み3,false,5
SF,その他,組込み2,false,5
SE,その他,組込み,false,5
SC,歯切り系,すぐ歯傘歯車仕上げ切り2次加工,false,5
SB,歯切り系,すぐ歯傘歯車仕上げ切り,false,5
RW,歯切り系,ﾛｰﾀ歯切り研磨,true,5
RV,歯切り系,ﾗｯｸ下切り,false,5
RU,歯切り系,ﾛｰﾀ歯切り,false,5
RT,歯切り系,ﾗｯｸ仕上げ歯切り,false,5
RG,歯切り系,ﾗｲｽ歯研２次加工,true,5
RC,歯切り系,歯研前荒切り2次加工,true,5
RB,研磨系,ﾗｯﾋﾟﾝｸﾞ2次加工,false,5
RA,研磨系,ﾗｯﾋﾟﾝｸﾞ,false,5
PP,その他,ﾒｯｷﾊｶﾞｼ,false,5
PO,その他,ﾐｶﾞｷ,false,5
PN,その他,ﾘﾝｻﾝﾏﾝｶﾞﾝ処理,false,5
PM,その他,ｺｰﾃｨﾝｸﾞ,false,5
PL,その他,ﾒｯｷ,false,10
PK,その他,ﾊﾟｰｶｰ,false,5
PG,研磨系,ﾎﾟﾘｯｼｭ研削,false,5
PB,その他,ﾊﾟｰﾂ2,false,5
PA,その他,ﾊﾟｰﾂ,false,5
NT,熱処理系,ﾉﾙﾏﾃﾝﾊﾟｰ,false,5
NO,その他,刻印打ち,false,5
MR,その他,M=>R,false,5
MN,その他,ﾐｰﾘﾝｸﾞ3次加工,false,5
MM,その他,ﾐｰﾘﾝｸﾞ2次加工,false,5
ML,その他,ﾐｰﾘﾝｸﾞ,false,5
MG,歯切り系,ﾏｰｸﾞ歯研2次加工,true,5
ME,その他,ﾏｼﾆﾝｸﾞ3次加工,false,5
MD,その他,ﾏｼﾆﾝｸﾞ2次加工,false,5
MC,その他,ﾏｼﾆﾝｸﾞ加工,false,5
MB,研磨系,溝研磨,false,5
MA,その他,ZAI.L.DR,false,5
LZ,その他,材料.旋盤1次加工,false,5
LW,その他,ﾈｼﾞｻﾗｴ,false,5
LK,その他,ｶﾌﾞｾ,false,5
LG,その他,旋盤仕上げ加工,false,5
LD,その他,旋盤.穴あけ又はﾀｯﾌﾟ,false,5
LC,その他,ｽﾃﾎﾞｽｶｯﾄ,false,5
LB,その他,旋盤B面加工,false,5
LA,その他,旋盤A面加工,false,5
L4,その他,旋盤A面四次加工,false,5
L3,その他,旋盤A面三次加工,false,5
L2,その他,旋盤A面二次加工,false,5
L1,その他,旋盤A面一次加工,false,5
L0,その他,旋盤加工,false,5
KG,研磨系,ｷｰﾐｿﾞｹﾝﾏ,false,5
K5,検査,仕掛品中間検査5回目,false,5
K4,検査,仕掛品中間検査4回目,false,5
K3,検査,仕掛品中間検査3回目,false,5
K2,検査,仕掛品中間検査2回目,false,5
K1,検査,仕掛品中間検査1回目,false,5
IW,研磨系,内径・外径同時研磨,false,5
IV,研磨系,端面研磨4次加工,false,5
IU,研磨系,端面研磨3次加工,false,5
IT,研磨系,端面研磨2次加工,false,5
IS,研磨系,端面研磨,false,5
IQ,研磨系,外径・端面同時研磨2次加工,false,5
IP,研磨系,外径・端面同時研磨,false,5
IO,研磨系,外径研磨,false,5
IL,研磨系,内・外径同時研磨,false,5
II,研磨系,内径研磨,false,5
I3,研磨系,捨て研磨2次加工,false,5
I2,研磨系,内径・端面同時研磨2次加工,false,5
I1,研磨系,内径・端面同時研磨,false,5
I0,研磨系,捨て研磨,false,5
HZ,熱処理系,無酸化焼入れ,false,5
HY,熱処理系,ｲｵﾝﾁｯｶ,false,5
HX,熱処理系,ﾀﾌﾄﾗｲﾄ,false,5
HW,熱処理系,ｶﾞｽ窒化,false,5
HV,熱処理系,歪取り,false,5
HU,その他,ﾀﾌﾗﾑ ｼｮﾘ,false,5
HT,熱処理系,ｶﾞｽﾅﾝﾁｯｶ,false,5
HS,熱処理系,光輝焼入れ,false,5
HR,歯切り系,ﾗｲｽ歯研用下切り２次加工,true,5
HM,歯切り系,ﾏｰｸﾞ歯研用下切り2次加工,true,5
HI,熱処理系,高周波焼入れ,false,5
HG,熱処理系,浸炭焼入れ,false,5
HF,その他,半製品加工,false,5
HE,熱処理系,ｻﾌﾞｾﾞﾛ,false,5
HD,その他,手仕上げ,false,5
HC,熱処理系,浸炭処理のみ,false,10
HB3,熱処理系,埋め栓+防炭剤塗布,false,10
HB2,熱処理系,防炭剤塗布,false,10
HB1,熱処理系,埋め栓防炭,false,10
HB,熱処理系,浸炭焼入れ（防炭有り）,false,10
HA,熱処理系,浸炭のみから高周波焼入,false,10
GW,歯切り系,ｳｫｰﾑ歯研,true,5
GV,歯切り系,ﾗｲｽ歯研2回目,true,5
GU,歯切り系,ｽﾌﾟﾗｲﾝ歯研2,true,5
GT,歯切り系,ｵﾊﾟｰﾙ歯研,true,5
GS,歯切り系,ｽﾌﾟﾗｲﾝ歯研,true,5
GR,歯切り系,ﾗｲｽ歯研,true,5
GN,歯切り系,ﾅｲﾙｽ歯研,true,5
GM,歯切り系,ﾏｰｸﾞ歯研,true,5
GI,歯切り系,ｲﾝﾀｰﾅﾙ歯研,true,5
GH,歯切り系,ﾎﾌﾞ研磨,true,5
GG,歯切り系,勾配歯研磨,true,5
GF,歯切り系,ﾗｯｸ歯研,true,5
GD,研磨系,ｾﾝﾀｰ研磨2,false,5
GC,研磨系,ｾﾝﾀｰ研磨,false,5
GB,歯切り系,勾配歯下切り,false,5
GA,歯切り系,勾配歯仕上げ切り,false,5
FL,その他,ﾌﾗｲｽ,false,5
EM,その他,放電加工,false,5
EH,歯切り系,等高歯超硬仕上げ,false,5
EG,歯切り系,等高歯研磨,true,5
ED,歯切り系,等高歯仕上げ切り,false,5
EA,歯切り系,等高歯下切り,false,5
DR,その他,穴あけ又はタップ,false,5
DB,その他,ソリッド下切り,false,5
DA,その他,ソリッド仕上げ切り,false,5
CV,研磨系,溝部研磨,false,5
CU,その他,溝入れ,false,5
CT,検査,噛み合い検査,false,5
CS,その他,面取り（ﾁｬﾝﾁｬﾝ）2,false,5
CR,その他,面取り（ﾁｬﾝﾁｬﾝ）,false,5
CO,その他,平削り（荒加工）,false,5
CI,検査,検査2,false,5
CH,検査,検査,false,5
CG,その他,磁気抜き,false,5
CD,歯切り系,ｶｰﾋﾞｯｸｶｯﾌﾟﾘﾝｸﾞ歯切り2回目,false,5
CC,歯切り系,ｶｰﾋﾞｯｸｶｯﾌﾟﾘﾝｸﾞ歯研,true,5
CB,歯切り系,ｶｰﾋﾞｯｸｶｯﾌﾟﾘﾝｸﾞ荒歯切り,false,5
C2,その他,ﾐﾐ削り,false,5
C1,その他,平削り,false,5
BT,その他,ｶﾞﾝﾄﾞﾘﾙ,false,5
BR,その他,ﾌﾞﾛｰﾁ,false,5
BQ,その他,ﾌﾞﾛｰﾁ荒加工,false,5
BF,その他,BUFFING,false,5
AL,その他,全加工,false,5
3L,その他,旋盤B面三次加工,false,5
2L,その他,旋盤B面二次加工,false,5
1L,その他,旋盤B面一次加工,false,5
97,その他,ｹｶﾞｷ線入れ作業,false,5
87,その他,HAND1,false,5
84,その他,CLUTHPGS,false,5
83,その他,CLUT (G),false,5
65,歯切り系,歯研前荒切り,true,5
41,歯切り系,ﾗｲｽ歯研、２箇所目,true,5
21,歯切り系,ﾗｲｽ歯研用下切り、2箇所目,true,5
19,その他,材料･旋盤･穴あけ又はﾀｯﾌﾟ,false,5
18,その他,LCR,false,5
17,熱処理系,材料･旋盤･調質･穴あけ又はﾀｯﾌﾟ,false,5
08,熱処理系,応力除去,false,5
07,熱処理系,焼鈍,false,5
06,熱処理系,調質,false,5
05,熱処理系,焼準,false,5
