# 品名(先頭語)→品種(GEAR/BEVEL/WORM)の対応表。
# 2026-09-08 kii-san確認済み: 品名の先頭語で判定し、一致しない品名(フランジ/シャフト/スプライン等の
# 付随部品、型番のみの「同製品」表記など)は3分類の対象外として集計から除外する。
# 「前方一致」でマッチする(長いキーワードを優先)。将来、新しい品名パターンが出てきたら
# この行を追加するだけで反映される(プログラム改変は不要)。
#
# ＳＴＢ(直歯傘歯車と推測)・ＨＹＰ(ハイポイドギヤと推測)はBEVELとして分類しているが、
# 未確認の推測のため、違っていればこの行を修正してください。
keyword,category
ＧＥＡＲ,GEAR
GEAR,GEAR
複リードウォームホイル,WORM
複リードウォームシャフト,WORM
複リード,WORM
複ＷＯＲＭ,WORM
ＷＯＲＭ,WORM
ウォームホイル,WORM
ウォームシャフト,WORM
ホイ－ル,WORM
ホィール,WORM
ホイル,WORM
ＷＨＥＥＬ,WORM
ＳＰＢｅｖ,BEVEL
ＳＰＢ,BEVEL
SPB,BEVEL
ＢＥＶＥＬ,BEVEL
Ｃ．Ｃ,BEVEL
Ｃ・Ｃ,BEVEL
ＣＣ,BEVEL
ＳＴＢ,BEVEL
ＨＹＰ,BEVEL
